0 2 45
0 20 114
2 8 82 15 0
0 12 97
0 18 97
2 4 120 7 1
1 16 98 19 8
1 4 73 11 7
2 13 113 15 2
1 14 37 18 3
2 13 42 4 0
2 20 100 11 0
0 11 108
0 2 50
0 14 48
1 19 79 18 4
2 13 124 19 0
0 13 83
2 4 124 18 1
0 5 105
1 10 36 9 5
1 18 101 10 3
0 18 64
2 6 122 3 0
0 1 35
0 5 107
2 9 34 16 0
0 17 63
0 19 103
1 18 91 2 1
2 14 62 7 2
0 1 119
1 8 112 7 16
1 7 109 5 9
0 13 51
2 3 30 0 1
0 19 48
1 20 96 12 20
2 7 126 15 1
0 6 39
2 19 72 3 0
0 8 77
0 18 68
0 16 70
2 15 42 0 0
1 17 65 13 9
2 18 63 5 0
2 18 89 0 2
0 19 64
0 8 94
1 4 102 20 14
1 11 117 8 13
1 4 34 12 4
1 17 98 2 10
2 12 104 10 1
1 1 47 6 9
0 6 40
2 19 35 18 1
2 11 61 14 2
0 1 95
1 15 70 16 4
0 8 120
2 8 121 2 2
0 17 79
2 6 107 4 2
2 9 111 6 0
2 15 125 1 0
2 15 121 2 1
2 10 106 12 0
1 19 75 3 2
2 2 70 11 1
1 15 63 11 12
1 11 75 14 12
0 16 35
1 7 48 9 12
0 15 109
0 1 78
1 10 67 5 5
0 16 58
0 9 82
0 18 107
1 19 39 16 5
0 5 110
2 6 113 16 2
2 6 114 19 2
1 15 119 7 18
2 3 83 6 0
2 4 33 16 0
1 6 66 1 6
0 1 33
2 15 118 11 0
2 15 124 19 2
0 13 108
0 20 53
2 4 109 10 2
2 15 99 18 0
2 18 101 2 0
2 14 60 2 1
2 11 78 12 2
0 19 57
